Status,Date_Time,City,State,Country,Shape,Summary,Has_Media,Explanation
Open,10/28/2015 00:00,Sacramento,CA,USA,Orb,"While crawdad fishing on the American River, I looked into the sky and noticed an orange glowing orb.",11/08/2015,
Open,10/26/2015 18:10,Diamond Bar,CA,USA,Light,"8 lights, crescent formation, in an odd cloud, moved in unison, disappeared in order from left to right as they exited the cloud.",10/26/2015,
Open,10/25/2015 19:00,Santa Rosa,CA,USA,Fireball,Two orange-red flickering bright lights appeared . Floating south to north for 1 and a half minutes .then fading out.,10/25/2015,
Open,10/25/2015 06:15,San Diego,CA,USA,Other,Lights in the early am. ((NUFORC Note: Planets in the eastern sky?? PD)),10/25/2015,
Open,10/24/2015 23:15,Los Angeles,CA,USA,Other,Two orange orbs.,10/26/2015,
Open,10/24/2015 21:00,Modesto,CA,USA,Light,"5 orange lights in Modesto, CA.",10/25/2015,
Open,10/24/2015 20:25,North Hollywood,CA,USA,Unknown,Unfamiliar green light pattern traveling on a straight line that stopped in flight and reversed direction.,10/25/2015,
Open,10/24/2015 02:00,Ventura,CA,USA,Other,UFO sighting? In east ventura ca,05/02/2024,Y
Open,10/23/2015 22:55,Avocado Heights,CA,USA,Sphere,The light flashing from the sphere were changing color as it hit the ground.,10/23/2015,
Open,10/23/2015 22:48,San Rafael,CA,USA,Orb,Large green orb falling from high in sky until no longer visible driving south bound 101 20 miles north of san francisco.,10/23/2015,
Open,10/23/2015 22:46,Yountville,CA,USA,Fireball,Bright green orb/fireball traveling straight down to earth. ((NUFORC Note: Possible Orionid meteor?? PD)),10/23/2015,
Open,10/23/2015 22:40,Idyllwild,CA,USA,Fireball,Green fireball in sky observed from idyllwild mountain highway. ((NUFORC Note: Possible Orionid meteor?? PD)),10/23/2015,
Open,10/23/2015 22:30,Seal Beach,CA,USA,Fireball,Ball of fire falling from sky. ((NUFORC Note: Possible Orionid meteor?? PD)),10/24/2015,
Open,10/22/2015 19:55,Madera,CA,USA,Light,White light makes a turn and disappears.,10/22/2015,
Open,10/22/2015 08:00,Sacramento,CA,USA,Flash,"Large ball of light with long trail lights up the sky and disappears over Sacramento, California.",10/23/2015,
Open,10/21/2015 19:03,Anaheim,CA,USA,Light,Solid Green lights then Solid Red zig zagging across the sky.,10/21/2015,
Open,10/21/2015 05:50,Sunnyvale,CA,USA,Orb,"While looking for shooting stars southward at Orion, I caught a orange orb - NO FLASHING LIGHTS - traveling east to west at about the s",10/26/2015,
Open,10/21/2015 05:40,Salinas,CA,USA,Fireball,5:40 am was driving and saw a fire ball in the sky going south to north. The ball would flash super bright.,10/21/2015,
Open,10/21/2015 05:30,San Luis Obispo,CA,USA,Oval,Ontario Rd. flaming object moving slowly like Helicopter shaped an speeds from south to Norht west few sparks like not a solid trail.,10/21/2015,
Open,10/21/2015 05:00,Paso Robles,CA,USA,Light,A large orange light that shot out 3 small red lights then change in to a long cylinder shape and took off like a shooting star.,10/21/2015,
Open,10/21/2015 03:00,Modesto,CA,USA,Orb,Multi-colored stationary orb that lasted 30+ mintues. ((NUFORC Note: We suspect a planet was being observed. PD)),10/21/2015,
Open,10/20/2015 20:00,San Dimas,CA,USA,Formation,V-shape formation of orbs flying low and silently over our roof,10/26/2015,
Open,10/20/2015 05:15,Williams,CA,USA,Other,"Video and photos taken on October 20 at approximately 5:15am right off of I5 in Williams , CA.",10/22/2015,
Open,10/18/2015 19:00,Venice beach,CA,USA,Circle,Flying pink and green or over Venice Beach.,10/19/2015,
Open,10/16/2015 23:00,Roseville,CA,USA,Disk,8 Craft V Formation Spoted in Roseville CA 10/16/2015,10/18/2015,
Open,10/16/2015 21:20,Bakersfield,CA,USA,Other,We were coming home from an evening out. My husband got out at the corner from car to get mail.,10/16/2015,
Open,10/16/2015 20:30,Modesto,CA,USA,Light,The light we seen was orange then turned red and was hovering for sure and slowly disappeared after 3 to 4 minutes.,10/17/2015,
Open,10/16/2015 20:00,Sacramento,CA,USA,Oval,3 light flashes.,10/17/2015,
Open,10/15/2015 19:57,Roseville (west of),CA,USA,Unknown,"Multi-colored stationary flashing light (red, Green, white, blue)",10/15/2015,
Open,10/14/2015 20:36,Santa Ana,CA,USA,Oval,Color-changing UFO shaped like an thin oval.,10/14/2015,
Open,10/14/2015 08:30,Long Beach,CA,USA,Flash,Last night my wife had noticed 3 flashes of lights with 2 consecutive split second flashes within one of each of those flashes. I know,10/15/2015,
Open,10/13/2015 21:53,Cypress,CA,USA,Cone,Upside down ice cream cone shape entering towards earth with the following array of colors: Brilliant green-blue-red-purple.,10/13/2015,
Open,10/13/2015 21:46,Clairemont,CA,USA,Sphere,"A portion of the night sky lit up a beautiful glowing blue, followed by a blue sphere with aura heading west.",10/13/2015,
Open,10/13/2015 21:04,Orange,CA,USA,Other,"Extremely loud noise followed by a falling red, white, and green orb; soon after blue light flies by overhead.",10/13/2015,
Open,10/13/2015 21:00,Fall River Mills,CA,USA,Flash,Caught a glimpse of an unexplained flash of light in the sky on a clear night.,10/14/2015,
Open,10/13/2015 20:00,Mountain View,CA,USA,Light,Formation over Mountain View CA,10/18/2015,
Open,10/13/2015 17:35,Placentia,CA,USA,Diamond,Blue diamond shaped object flashing in the distance in Placentia CA,10/13/2015,
Open,10/13/2015 04:30,Organ House,CA,USA,Changing,Have pics and video. ((NUFORC Note: We suspect a sighting of the three planets in the eastern morning sky. PD)),11/02/2015,
Open,10/12/2015 03:42,Vacaville,CA,USA,Fireball,"Orangish color sphere shape flying over Vacaville, CA",10/12/2015,
Open,10/11/2015 21:00,Carlsbad,CA,USA,Triangle,Sphere lingering turning into triangle staying around for hours. ((NUFORC Note: Twinkling star?? PD)),10/11/2015,
Open,10/11/2015 05:30,Norwalk,CA,USA,Other,Strange Lights in the Night Sky.,10/11/2015,
Open,10/11/2015 00:43,Morgan Hill,CA,USA,Light,"Bright light zig-zags across the sky very quickly, then slows down rapidly and begins to flash an intermittent red light.",10/11/2015,
Open,10/10/2015 22:30,Oxnard,CA,USA,Fireball,"Green fireball darts earthward in south Oxnard sky, witnessed by two people. ((NUFORC Note: Possibly a meteor? PD))",10/14/2015,
Open,10/10/2015 22:00,Lakewood,CA,USA,Fireball,Diamond fire flames slow dancing.,10/11/2015,
Open,10/10/2015 20:30,Lincoln,CA,USA,Light,"Strange lights changing colors, moving slowly and hovering with no noise.",10/11/2015,
Open,10/10/2015 20:00,Moorpark,CA,USA,Triangle,Silent large v-shaped dimly lit object with 4-5 lights on each side that glided very quickly in sky,10/11/2015,
Open,10/10/2015 06:55,Diamond Bar,CA,USA,Changing,Shape shifting UFO following flying snake,10/15/2015,
Open,10/09/2015 22:25,Lakewood,CA,USA,Fireball,Me and my friend were sitting in my car and all of a sudden we saw 5 fireballs going the exact same speed following one another.,10/09/2015,
Open,10/09/2015 21:00,Laytonville,CA,USA,Light,"10/9/15 at 9 pm in western sky near Laytonville, CA, a cluster of flashing red, orange , green and white flights observed.",10/10/2015,
Open,10/09/2015 17:06,Santa Rosa,CA,USA,Cross,"Craft with 2 bright reddish pulsating lights, 5 small lights moved into set position in sky and stayed in that position for 15 m",10/09/2015,
Open,10/09/2015 06:40,Pacoima,CA,USA,Disk,Seen by a cousin of my employee...cannot verify that it is or is not a craft... hope other reports from same event will provide clarif,10/09/2015,
Open,10/08/2015 23:00,Martinez,CA,USA,Triangle,"Black triangular UFO over Martinez, CA.",10/09/2015,
Open,10/08/2015 10:05,Fresno,CA,USA,Teardrop,"Mass sighting of 30-40 black objects over Fresno, CA.",10/08/2015,
Open,10/08/2015 10:05,Fresno,CA,USA,Teardrop,20 to 30 black objects hovering in sky.,10/08/2015,
Open,10/08/2015 06:00,Los Alamos,CA,USA,Fireball,Weird flame floating over hills on 101 northbound fwy.,10/08/2015,
Open,10/08/2015 05:00,Near Woody,CA,USA,Circle,We saw a red glowing ball/circular object moving slowly over the hills! This is actually the 2nd time I have seen it and it was app,10/11/2015,
Open,10/07/2015 21:45,Redondo Beach,CA,USA,Sphere,Big ball of light appeared stationary the went down kinda fast then slowed down and stop on the of the water then turn off,11/28/2025,
Open,10/07/2015 09:30,Redlands (heading nw),CA,USA,Unknown,Clear day heard loud rumble like aircraft couldn't see anything but went from yucaipa area to lytle creek direction in 5 to 6 seconds,10/07/2015,
Open !,10/06/2015 15:02,Topanga,CA,USA,Other,"I didn’t see a craft, I saw an owl.",11/06/2024,
Open,10/05/2015 07:06,Escondido,CA,USA,Triangle,"(8) black triangular shaped craft, pointing west. Photo shows a formation similar to ducks migrating and (2) circular cloud puffs like",10/10/2015,
Open,10/04/2015 20:40,Saratoga,CA,USA,Light,"Strange lights in norh east sky Saratoga, CA.",10/05/2015,
Open,10/03/2015 20:00,Crescent City,CA,USA,Triangle,"Lights Over Crescent City, California.",10/03/2015,
Open,10/03/2015 20:00,Armona,CA,USA,Orb,"Bright yellow light seen coming from near Lemoore, CA Naval Base; slowed then flew into space.",10/04/2015,
Open,10/03/2015 18:50,Winchester (French Valley),CA,USA,Light,"Stationary ball of light ""fire""; fades away.",10/03/2015,
Open,10/03/2015 16:00,San Diego,CA,USA,Circle,"On 10/03/15 at the San Diego Mir Mar naval air show, Me and my son and family were watching the French jet team perform their stunts. M",11/07/2015,
Open,10/02/2015 20:30,Chula Vista,CA,USA,Triangle,"While out front, I saw really bright lights out of the corner of my eye. I looked up at them and saw a triangle shaped object. .",10/02/2015,
Open,10/02/2015 20:15,Copperopolis,CA,USA,Light,"I saw a big round light in the sky. I noticed it because it was bright, and bigger than anything we see in the night sky.",12/23/2015,
Open,10/02/2015 19:00,Magalia,CA,USA,Flash,Series of extremely bright white flashes.,10/03/2015,
Open,10/01/2015 03:30,Barstow,CA,USA,Cigar,"White, cigar shaped, large, high, no noise, fast, no chemtrail to say jetliner.",10/01/2015,
Open,09/30/2015 20:50,Signal hill,CA,USA,Fireball,I looked out the front door of the house in the evening and saw 3 strange red lights. I got my phone and started taking pictures and i,01/17/2020,
Open,09/30/2015 20:00,Long Beach,CA,USA,Light,"High altitude bright white light strobe, multidirectional and stationary.",09/30/2015,
Open,09/30/2015 19:51,Los Angeles,CA,USA,Light,A single bright light flashed on and off in four different non-linear locations.,09/30/2015,
Open,09/29/2015 22:55,Hesperia,CA,USA,Fireball,"Fireball like aircraft hovered above tree tops, then slowly went backwards and disappeared. Once it disappeared 4 other lights blinked",09/30/2015,
Open,09/29/2015 19:51,Los Angeles,CA,USA,Light,A single bright light flashed from multiple positions that were not in line about eight times in 16 minutes.,09/29/2015,
Open,09/28/2015 23:00,Oceanside (viewing east county),CA,USA,Changing,Changing Sphere Multi Color Hovwering for weeks.,10/02/2015,
Open,09/28/2015 20:00,Warner Springs,CA,USA,Fireball,"Very large, bright meteor with short, red tail descending very slowly near harvest moon.",10/02/2015,
Open,09/28/2015 20:00,Sacramento,CA,USA,Light,"Split sec flash of light to a light glow, then it would move.",10/06/2015,
Open,09/28/2015 19:55,Palm Desert,CA,USA,Fireball,"A very bright slow moving ""fireball"" appeared from the west heading east.",09/28/2015,
Open,09/28/2015 00:00,Fontana,CA,USA,Circle,"An odd ""bubble like"" unidentified, but seen by the naked eye; appeared close to moon during Super Moon Eclipse.",09/30/2015,
Open,09/27/2015 22:40,Garden Grove,CA,USA,Unknown,"a green round object running about the Moon, and then it hid behind the moon. ((NUFORC Note: Lens flare?? PD))",09/29/2015,
Open,09/27/2015 21:00,Norwalk,CA,USA,Other,V formation cloud in the night sky that moved and kept it's shape.,09/27/2015,
Open,09/27/2015 20:45,Oceanside,CA,USA,Light,The light cross the sky in about one minute. The speed of that was unreal.,09/28/2015,
Open,09/27/2015 20:31,Westminster,CA,USA,Triangle,"It had rained that evening, clouds cleared but the triangle remained",12/24/2022,Y
Open,09/27/2015 20:30,San Clemente,CA,USA,Formation,Mysterious formation over South Orange County Skies.,09/27/2015,
Open,09/27/2015 20:30,Paradise,CA,USA,Light,Swarm of lights.,09/27/2015,
Open,09/27/2015 20:27,Yucca Valley,CA,USA,Triangle,Massive triangle over Yucca Valley on night of the eclipse.,10/04/2015,
Open,09/27/2015 20:25,Long Beach,CA,USA,Light,"2 blinking blue lights high in sky not moving. Then headed west extremely fast, stopped again then moved west.",09/27/2015,
Open,09/27/2015 19:33,Los Angeles,CA,USA,Light,Bright white steady light heading eastward at about 50 degrees elevation about northeast from my house.,09/28/2015,
Open,09/27/2015 19:25,San Bernardino,CA,USA,Light,"Around 7:25PM I witness in the sky coming from the south heading east a large group of what it seemed to be orange flickering lights,",09/27/2015,
Open,09/27/2015 19:15,Paso Robles,CA,USA,Light,"Intense Red Light Observed over Paso Robles, CA.",09/27/2015,
Open,09/27/2015 18:00,Los Angeles,CA,USA,Teardrop,"9/27/2015 Los Angeles, CA. three minutes silver, verticle cigar shape with side panels heading west",09/28/2015,
Open,09/27/2015 01:45,Loomis,CA,USA,Triangle,I was looking out the kitchen window and my eye caught a huge light flying very low. I continued to watch it and when it flew over the,09/28/2015,
Open,09/26/2015 22:00,Campbell,CA,USA,Sphere,"Our 7 yr. old spotted a bright round object in the sky last night, from our car. We got out to see it. It was round and was a bright.",09/27/2015,
Open,09/26/2015 21:30,Clovis,CA,USA,Light,I saw a blue shimmering light in the sky that made a vertical descent.,09/27/2015,
Open,09/26/2015 19:00,Fontana,CA,USA,Circle,"Saw several lights over mtns. Orange-red in color, like nothing I've ever seen. Each disappeared at once. Also, have film, pictures.",09/26/2015,
Open,09/26/2015 13:00,Southgate,CA,USA,Formation,"Another Mass sighting of Ufo's in Los Angeles has Happened, and no im not talking about the giant light in the sky on Saturday",11/10/2015,
Open,09/26/2015 07:45,Rocklin,CA,USA,Light,"Smoking a cig outside and checking out the full moon, one orange light appeared to the right of the moon. went solid for 10-15 seconds",09/26/2015,
Open,09/25/2015 22:35,Temecula,CA,USA,Light,BRIGHT BLUE LIGHT STATIONARY IN NORTHERN SKY.,10/02/2015,
Open,09/25/2015 21:30,San Clemente,CA,USA,Unknown,3 orangish unknown shapes.,09/26/2015,
Open,09/25/2015 04:00,Wilmington,CA,USA,,"Around 4:30 am, saw 3 flashes of blue light, approximately 10 seconds apart. I thought perhaps a transformer blew.",09/26/2015,
Open,09/24/2015 21:00,Corte Madera,CA,USA,Sphere,Shiney objects over North Bay.,11/17/2015,
Open,09/24/2015 20:15,San Carlos,CA,USA,Orb,Two huge bright orbs flying fast and low.,09/24/2015,
Open,09/24/2015 08:00,Marin County,CA,USA,Cylinder,Light reflection off cloaked cylinder shape.,09/24/2015,
Open,09/24/2015 05:00,San Jose,CA,USA,Light,"As I walked to meet my sister i noticed a huge light, brighter then any star. ((NUFORC Note: Venus in the eastern sky. PD))",09/24/2015,
Open,09/24/2015 00:00,Novato,CA,USA,Cigar,"Cigar shaped UFO with blue, red and green lights passes over campers.",09/28/2015,
Open,09/23/2015 20:45,Fairfield,CA,USA,Circle,I was on the west side of my house looking south west at clouds passing the path of the moon when a bunch of little white dots that at,09/23/2015,
Open,09/21/2015 23:55,Manhattan Beach,CA,USA,,"THREE GIANT FLASHES OF LIGHT ILLUMINATE THE MIDNIGHT SKY OVER MANHATTAN BEACH, CALIFORNIA.",09/21/2015,
Open,09/20/2015 20:45,Carpinteria,CA,USA,Formation,"Three very bright lights in the night sky forming a large triangle stay motionless for 90 seconds, dim and go out.",09/21/2015,
Open,09/19/2015 21:04,Roseville,CA,USA,Formation,Saw what appeared to be 40 round orange lights in a vee formation quickly and silent cross over the treeline in our backyard.,09/19/2015,
Open,09/19/2015 20:55,Moro Bay,CA,USA,Other,"Craft, red, green & orange light moved with bursts of speed erratically sped & side to side, went dark threw off sparks, disappeared.",09/19/2015,
Open,09/19/2015 13:14,Roseville,CA,USA,Oval,Saw UFO above a red helicopter in sky.,09/19/2015,
Open,09/19/2015 02:00,San Jose,CA,USA,Changing,"Globe-shaped object brilliantly lite, switching colors, hovering high in the sky over Mt. View/Sunnyvale. ((NUFORC Note: Venus. PD))",09/20/2015,
Open,09/19/2015 02:00,Tehachapi,CA,USA,Disk,"Looking west from my home in Bear Valley Springs, a community approximately 17 miles from the town of Tehachapi.",09/21/2015,
Open,09/18/2015 22:00,Sherman Oaks,CA,USA,Chevron,Chevron-shaped flying boomerang with dim running lights on the bottom.,09/20/2015,
Open,09/18/2015 21:10,Modesto,CA,USA,Light,"Yellow-orange light seen approaching Modesto, CA.",10/09/2015,
Open,09/18/2015 20:00,Hayward,CA,USA,Changing,3 seperate sightings in one night,09/19/2015,
Open,09/18/2015 11:00,San Diego,CA,USA,,"Huge, unmarked, completely white aircraft - no windows, not moving, just sitting in the air - almost as high as other airplanes. In da",09/18/2015,
Open,09/18/2015 06:30,Madera,CA,USA,Light,"Saw 3 glowing lights that were apart two up top one below, at approximately 6:30 am in the horizon, after a few minutes they slowly dis",09/18/2015,
Open,09/17/2015 22:55,Loma Linda,CA,USA,Unknown,2 red lit spheres hardly moving.,09/18/2015,
Open,09/17/2015 19:48,Orange,CA,USA,Orb,Glowing orb being chased by two jets,09/18/2015,
Open,09/17/2015 19:40,Los Angeles,CA,USA,Circle,"Approximately in the NW direction from the front of my house at approximately 30 degrees elevation, I saw a single large (much larger t",09/19/2015,
Open,09/17/2015 19:35,Yucca Valley,CA,USA,Disk,UFO TWO GIRLS YUCCA VALLEY CA GREEN AND WHITE LIGHTS ON OBJECT,09/18/2015,
Open,09/17/2015 14:45,Sacramento,CA,USA,Orb,Aircraft circles near. 2 white glowing dots.,09/17/2015,
Open .,09/16/2015 14:08,San Diego,CA,USA,Cube,White cube moving faster than any fighter jet,04/21/2025,
Open,09/15/2015 10:00,Roseville,CA,USA,Sphere,Stationary object spotted in Roseville (Day Sighting).,10/19/2015,
Open,09/15/2015 04:30,Roseville,CA,USA,Oval,It was staying still then would move about 5 degrees either way then a red smaller one would follow it's movement then it started to mo,09/15/2015,
Open,09/14/2015 21:00,El Soreno,CA,USA,Cigar,Large sized electric surveillance drone over Lincoln Heights/El Soreno.,09/14/2015,
Open,09/14/2015 19:00,Imperial Beach,CA,USA,Triangle,I was walking east on Palm Avenue and a triangle shaped object appeared low flying towards me flying west. It was moving very slow a,09/16/2015,
Open,09/14/2015 05:45,Downey,CA,USA,Unknown,"Saw a fast moving object in sky in the east for 30 seconds, or so......no nav. lights.",09/14/2015,
Open,09/14/2015 00:45,Calabasas,CA,USA,Light,Bright purple light hovering silently and color shift.,09/14/2015,
Open,09/14/2015 00:00,Los Angeles,CA,USA,Other,We were walking then out of a sudden we saw 30 flying objects we have a high defenition film too,09/15/2015,
Open,09/13/2015 02:00,South Gate,CA,USA,Oval,Two bright red that would change color some are dimmer and they dent flash sometimes they move left to right or up and down and some ac,09/18/2015,
Open,09/10/2015 20:15,Antioch,CA,USA,Light,Red and blue lights in California seen moving fast in strait lines and slighly changing course.,09/10/2015,
Open,09/10/2015 17:00,Santa Maria,CA,USA,Fireball,"Made a report back in July 23, 2015. Location Santa Maria California. Tonight 9-10-15. My daughter asked what are those orange light",09/10/2015,
Open,09/09/2015 21:30,San Jose,CA,USA,Chevron,Chevron and small sphere craft going south over 95128 area. Amazing to see.,09/10/2015,
Open,09/09/2015 19:00,Woodland,CA,USA,Other,Daylight sighting of tailed UFO cluster.,09/10/2015,
Open,09/08/2015 23:00,Oceano,CA,USA,Rectangle,Looking up at the stars while having a cigarette when I noticed a dark rectangular shape cross my view. Object crossed half the sky in,09/08/2015,
Open,09/08/2015 22:30,Cambria,CA,USA,Other,"Unknown flying object over Cambria, California.",09/09/2015,
Open,09/08/2015 21:00,Red Bluff,CA,USA,Cone,"Bright white glow, held still then just dimmed out.",09/10/2015,
Open,09/07/2015 04:59,Anaheim,CA,USA,Orb,"White orb flying over Anaheim, CA",09/07/2015,
Open,09/06/2015 21:30,Campbell,CA,USA,Fireball,Unexplained disappearing explosion-esque orb of light sighted in suburbia.,09/07/2015,
Open,09/06/2015 16:00,Trinidad,CA,USA,Other,"UFO sighted at Trinidad, CA, out over water from the new Trinidad Pier",09/28/2015,
Open,09/05/2015 21:35,Hayward,CA,USA,Formation,Strange eight light formation orange/red spheres horizontal in Northern California,09/05/2015,
Open,09/05/2015 20:35,Petaluma,CA,USA,Orb,Located in western sky of Petaluma. Object looked to be an orb light. Appeared for only seconds before becoming brighter and then fadi,09/05/2015,
Open,09/04/2015 21:00,Los Olivos,CA,USA,Circle,Bright rainbow colored light flying in the general area of Figueroa Mountain,09/08/2015,
Open,09/03/2015 03:08,Martinez,CA,USA,Light,Blinding whiter than white glowing moving fast from high up but getting lower as if I was direct target as it crossed the sky.,06/16/2022,
Open,09/02/2015 21:45,Salton Sea,CA,USA,Circle,Once again strange lights in sky.,09/02/2015,
Open,09/02/2015 15:00,Malibu,CA,USA,Oval,Orange spheres over Malibu and Pt. Dume.,09/03/2015,
Open,08/31/2015 16:00,Hemet,CA,USA,Light,The light was dim when o first noticed it.As I was standing there I watched it go from bright to Dim. The light continued to do this ma,08/31/2015,
Open,08/30/2015 02:00,Chino,CA,USA,Changing,"The object was flying at a noticeable altitude, yet was heading east at a unusual speed. It made no sound at all (which I have lived ne",08/31/2015,
Open,08/29/2015 09:30,San Diego,CA,USA,Fireball,From W to E. Sat still for about 1 minute then proceeded Southward and vertical until they disappeared.,08/29/2015,
Open,08/27/2015 21:30,Pacifica/Daly City,CA,USA,Other,Three strobe lights over Pacifica/Daly City boarder. They hovered for about 20 min then moved away independent of each other at a high,08/28/2015,
Open,08/24/2015 18:45,Oakley,CA,USA,Fireball,I saw orange lighted object flying west at constant speed; not low birds but not high as planes.,08/24/2015,
Open,08/23/2015 21:20,Pomona,CA,USA,Light,A bright object zigzagged across the sky.,08/23/2015,
Open,08/23/2015 21:00,El Monte,CA,USA,Other,White flashes when a satellite passed above the horizon.,08/24/2015,
Open,08/23/2015 05:00,Culver City,CA,USA,Triangle,"Triangular object hovering moving slightly, bright white lights with three distinct lights at the corners of the triangle.",08/23/2015,
Open,08/22/2015 14:00,South Gate,CA,USA,Other,Red Orb flyby at UFO Sighting Event in Los Angeles,08/24/2015,
Open,08/21/2015 20:00,Los Angeles,CA,USA,Light,Red & green lights above the Hollywood Bowl.,09/01/2015,
Open,08/21/2015 18:45,Southgate,CA,USA,Cigar,This Anomoly Transformed Continously From An Orb to Cigar Shaped UFO,08/24/2015,
Open,08/21/2015 05:30,Oakdale,CA,USA,Disk,"Saucer shaped ufo hovering in Oakdale, CA, and shoots off in sky and disappears.",08/22/2015,
Open,08/20/2015 21:25,Palm Spings,CA,USA,Other,Boomerang/crescent-like object with row of circles on bottom that arced wing to wing,08/25/2015,
Open,08/20/2015 13:00,Pismo,CA,USA,Fireball,Red fireball spherical looking object rises from ground and disappears.,08/20/2015,
Open,08/19/2015 23:00,Salton Sea,CA,USA,Circle,Four strange red orange lights.,08/20/2015,
Open,08/18/2015 21:00,Hesperia,CA,USA,Oval,Looking out into the east sky I saw what appeared to be an extremely large object. It resembled a sun if you could see a sun at night.,08/18/2015,
Open,08/15/2015 20:53,Laguna Beach,CA,USA,Cylinder,Above the freeway there was a rotating aircraft in the sky and lights were shinning around on the edges.,08/15/2015,
Open,08/15/2015 13:41,Spring valley,CA,USA,Rectangle,I love to take photos to the sun and sky is when i see the ufo in the photo but i notice my dogs start barking.,09/13/2015,
Open,08/14/2015 22:00,Manteca,CA,USA,Diamond,Seen 2 flying fireball objects gliding across back yard sky. There was no noise of any type of motor and they glided side by side.We wa,08/15/2015,
Open,08/14/2015 21:49,Ventura,CA,USA,Light,Bright light which alternated between green and red and rapidly changed direction as well as staying stationary for periods of time.,08/14/2015,
Open,08/13/2015 22:00,Stockton,CA,USA,Triangle,Triangular formation of white blurry lights over venetian park Stockton Ca,08/15/2015,
Open,08/13/2015 21:00,Modesto,CA,USA,Light,There is like a fireball in my neighbor tree it sounds like electricity but a also seen a bright light,08/13/2015,
Open,08/13/2015 13:06,Lawndale,CA,USA,Light,"Time 1:06pm, I happened to glance out my south facing kitchen window and observed a large strange looking 'cloud' surrounded in wis",08/13/2015,
Open,08/13/2015 00:30,Long Beach,CA,USA,Formation,Two strange lights (similar to satellites) following eachother and varying in brightness.,08/13/2015,
Open,08/13/2015 00:30,Nipomo,CA,USA,Fireball,"Single Fireball looking thing over Nipomo, CA",08/13/2015,
Open,08/12/2015 22:30,Fremont,CA,USA,Light,Star-like object moving strangely in the sky.,08/13/2015,
Open,08/12/2015 18:38,Marina del Rey/Playa Vista,CA,USA,Orb,Daytime UFO orb; glowing.,08/12/2015,
Open,08/12/2015 00:45,Mt. Laguna,CA,USA,Oval,I was viewing the Perseid Meteor Shower on the evening of 08/12/15 between the hours of 2200 (08/11/15) to 0130 (08/12/15). My location,09/29/2015,
Open,08/11/2015 23:56,Oxnard,CA,USA,Flash,Strange bright light over neighborhood area,08/12/2015,
Open,08/10/2015 22:15,Goleta (Goleta Beach Park),CA,USA,Light,"Bright light: - no visible object - near skyline - travellilng north to south. One observer, night. the light went out and on again.",08/12/2015,
Open,08/10/2015 21:09,East Palo Alto,CA,USA,Formation,"Three orange orbs in triangular formation hovering and slowing moving in night sky over East San Jose, the Saratoga hills of South Bay.",08/10/2015,
Open,08/10/2015 17:30,Chula Vista,CA,USA,,Creature in photo,07/02/2022,Y
Open,08/10/2015 04:00,Antioch,CA,USA,Fireball,Fireball heading east at consistent speed.,08/12/2015,
Open,08/09/2015 22:30,Grass Valley,CA,USA,Oval,I was lying in bed after dark. I happened too see something in the sky directly,08/10/2015,
Open,08/09/2015 15:00,Monterey Park,CA,USA,Other,UFO SIGHTINGS Humanoid UFO Anamoly Captured on 3 Cameras over LA; Undeniable Footage. Best evidence we have seen and captured yet of,08/17/2015,
Open,08/09/2015 15:00,Monterey Park,CA,USA,Unknown,Humanoid UFO Anomoly recorded with 3 different cameras and dozens of eyewitnises,08/17/2015,
Open,08/08/2015 19:30,Vallejo,CA,USA,Cone,Missile launch?,08/08/2015,
Open,08/07/2015 23:15,Chino Hills,CA,USA,Light,"Green to red lights over Inland empire, SoCal",08/08/2015,
Open,08/07/2015 17:30,N. Hollywood,CA,USA,Other,Blurry object moving within a cloud formation,08/08/2015,
Open,08/07/2015 15:30,Burbank,CA,USA,Triangle,UFO over Burbank Studio and 134.,08/10/2015,
Open,08/06/2015 22:18,Antioch,CA,USA,Light,A bright blue light flashes every 5 mins coming from the Southeast.,08/06/2015,
Open,08/06/2015 21:30,Santa Cruz,CA,USA,Fireball,"Saw a single orange fireball hanging in the clouds/sky over Santa Cruz, CA, last night, Aug 6th, around 9:30 PM for about 3 minutes.",08/07/2015,
Open,08/05/2015 22:00,South Gate,CA,USA,Fireball,We were walking and it was a bit over 10 pm when we saw an object hovering in the sky. Made no sound. It moved in about 60 degrees.,08/06/2015,
Open,08/05/2015 22:00,Fresno (north of; on I-5),CA,USA,Chevron,Low flying object nearly misses car on I-5 near Fresno,08/06/2015,
Open,08/05/2015 21:30,Hayward,CA,USA,Orb,Strange lights hovering over Highway 880,09/06/2015,
Open,08/04/2015 23:00,Modesto,CA,USA,Diamond,Saw a yellow orange circular object not too far up in the sky and it began to streak downward like a falling star or meteor.,08/05/2015,
Open,08/03/2015 22:11,Buena Park,CA,USA,Light,While driving eastbound on 91 freeway 3 lights 1 bright white 2 other multi color at same level in Eastern skyline a 4th appeared white,08/06/2015,
Open,08/03/2015 20:00,San Diego,CA,USA,Oval,Green glowing oval ufo followed by helicopter.,08/03/2015,
Open,08/01/2015 02:05,Ventura,CA,USA,Unknown,"Object slowly rising, then took off like nothing man made.",08/01/2015,
Open,07/31/2015 23:00,Stockton,CA,USA,Orb,Seven Beautiful luminous orange orange orbs dance away above Stockton California,08/01/2015,
Open,07/31/2015 20:40,Coalinga,CA,USA,Light,Very bright as compared to star background. Definitely not an airplane; too fast no flashing lights. Traveled about 110 deg arc.,08/02/2015,
