Status,Date_Time,City,State,Country,Shape,Summary,Has_Media,Explanation
Open,10/19/2025 14:25,Sacramento,CA,USA,Cross,Four round objects close together in the shape of a cross,10/19/2025,Y
Open,10/18/2025 19:57,Hayward,CA,USA,Circle,Small circular fast object seen moving through the sky briefly. Then taking a sharp right and upwards turn before disappearing.,10/18/2025,
Open,10/18/2025 18:35,Anaheim,CA,USA,Unknown,"Dark flying object seen after sunset. Moved smoothly with no sound, no lights, no visible exhaust, and no tilt.",10/19/2025,
Open,10/16/2025 22:45,La Mesa,CA,USA,Cone,Fast mover,10/18/2025,
Open,10/16/2025 12:45,Garden Grove,CA,USA,Triangle,3 silent dancing aircrafts,10/22/2025,
Open,10/16/2025 05:35,Sacramento,CA,USA,Rectangle,Big rectangular object flying north at maybe a kilometer high and no sound.,12/16/2025,Y
Open,10/16/2025 05:34,Santa Rosa,CA,USA,Cigar,Line of lights slowly moving across the sky,10/16/2025,Y
Open,10/16/2025 05:31,Oroville,CA,USA,Light,Object dropped out of the east. Bright straight line with black dots horizontally on object. Object leveled off as it moved north.,10/28/2025,Y
Open,10/14/2025 06:55,El Dorado Hills,CA,USA,Flash,Several moving flashes of lights above rain clouds,10/14/2025,
Open,10/12/2025 16:15,Berkeley,CA,USA,Orb,Small white orb moving along at jet speed to approx elevation; suddenly darts in Eastern direction at impossible speeds,10/12/2025,
Open,10/10/2025 22:00,Bakersfield,CA,USA,Circle,"A hovering light low to the ground, it did not blink or move til it left and moved horizontal very fast behind the treeline.",10/22/2025,
Open,10/10/2025 21:05,Camarillo,CA,USA,Flash,"Repeated flashing light near Saturn, every 2 minutes, and then a strange rectangular flash occuring near it",10/28/2025,Y
Open,10/10/2025 08:30,Riverside,CA,USA,Unknown,Flotation at times. Then it took off under own power,10/11/2025,Y
Open,10/09/2025 20:47,Sierra Brooks,CA,USA,Circle,Driving and saw a bright green orb dropping from the sky at a fast rate.,10/09/2025,
Open .,10/09/2025 18:46,Torrance,CA,USA,Cigar,I was pumping gas at ARCO and while pumping gas my son noticed this object hovering across the street . Then it just disappeared. Gone.,10/20/2025,Y
Open .,10/08/2025 07:00,Riverside,CA,USA,Cigar,Advanced drone technology or uap?,10/20/2025,
Open,10/08/2025 02:50,McKinleyville,CA,USA,Formation,Hovering green/red lights,10/09/2025,Y
Open,10/07/2025 21:05,Irvine,CA,USA,Cigar,It was a red tic tac shape with a red light or tail flying up and it just dissapeared,10/07/2025,Y
Open,10/07/2025 20:59,Pearblossom,CA,USA,Unknown,It looked like a copper disk with a copper trail,10/07/2025,Y
Open,10/07/2025 20:56,Inyokern,CA,USA,Star,Red star-like object seen in repeating flight pattern accompanied by spot beam from an unseen source.,10/08/2025,Y
Open .,10/05/2025 18:48,San Francisco,CA,USA,Triangle,"Just after sunset, looked WNW over Point Reyes, saw a moving vertical white line, which then rotated CCWise to reveal entire craft",11/29/2025,Y
Open,10/05/2025 15:15,Porterville,CA,USA,Cylinder,I've never seen anything like it before,10/05/2025,
Open,10/04/2025 15:00,Loomis,CA,USA,Circle,White glowing object moving erratically,10/29/2025,
